Members.Errors.DuplicateEmail,Es ist bereits ein Benutzer mit dieser E-Mail-Adresse vorhanden. Bitte geben Sie eine andere E-Mail-Adresse an.
Members.Label.EmailAddress,E-Mail-Adresse (wird von Gravatar verwendet)
Members.Profile.Age,Alter:
Members.Errors.Unknown,Ein unbekannter Fehler ist aufgetreten. Bitte überprüfen Sie Ihre Eingaben und versuchen Sie es erneut. Sollte das Problem weiterhin bestehen
PM.NewPrivateMessageSubject,Neue Private Nachricht
Members.Label.UserIsApproved,Benutzer ist zugelassen.
Topic.ShowMorePosts,Mehr Beiträge anzeigen
Rss.Category.Description,Neueste Diskussionen der Kategorie {0}
Members.LoginOrText,Oder
Badge.UnknownBadge,Unbekannter Orden-Typ {0}
Layout.Nav.Badges,Orden
PM.Sent,Gesendet:
Topic.Notification.NewTopics,In der Kategorie {0} wurde ein neues Thema erstellt.
Poll.Votes,Stimmen
